model,node,degree
ER,0,0.036072144288577156
ER,1,0.02404809619238477
ER,2,0.03206412825651302
ER,3,0.022044088176352707
ER,4,0.028056112224448898
ER,5,0.03206412825651302
ER,6,0.02404809619238477
ER,7,0.022044088176352707
ER,8,0.03406813627254509
ER,9,0.028056112224448898
ER,10,0.03206412825651302
ER,11,0.02004008016032064
ER,12,0.022044088176352707
ER,13,0.02404809619238477
ER,14,0.03206412825651302
ER,15,0.028056112224448898
ER,16,0.02404809619238477
ER,17,0.02404809619238477
ER,18,0.03206412825651302
ER,19,0.036072144288577156
ER,20,0.022044088176352707
ER,21,0.028056112224448898
ER,22,0.036072144288577156
ER,23,0.028056112224448898
ER,24,0.01603206412825651
ER,25,0.022044088176352707
ER,26,0.04208416833667335
ER,27,0.02404809619238477
ER,28,0.03006012024048096
ER,29,0.02004008016032064
ER,30,0.03006012024048096
ER,31,0.036072144288577156
ER,32,0.03206412825651302
ER,33,0.03406813627254509
ER,34,0.036072144288577156
ER,35,0.028056112224448898
ER,36,0.02404809619238477
ER,37,0.026052104208416832
ER,38,0.03206412825651302
ER,39,0.022044088176352707
ER,40,0.04809619238476954
ER,41,0.04208416833667335
ER,42,0.028056112224448898
ER,43,0.04208416833667335
ER,44,0.04208416833667335
ER,45,0.03406813627254509
ER,46,0.03206412825651302
ER,47,0.026052104208416832
ER,48,0.04208416833667335
ER,49,0.03206412825651302
ER,50,0.03206412825651302
ER,51,0.026052104208416832
ER,52,0.03406813627254509
ER,53,0.028056112224448898
ER,54,0.01002004008016032
ER,55,0.02404809619238477
ER,56,0.028056112224448898
ER,57,0.03406813627254509
ER,58,0.03807615230460922
ER,59,0.028056112224448898
ER,60,0.02004008016032064
ER,61,0.03406813627254509
ER,62,0.03006012024048096
ER,63,0.03006012024048096
ER,64,0.028056112224448898
ER,65,0.03406813627254509
ER,66,0.026052104208416832
ER,67,0.026052104208416832
ER,68,0.02404809619238477
ER,69,0.03206412825651302
ER,70,0.03206412825651302
ER,71,0.03006012024048096
ER,72,0.04008016032064128
ER,73,0.02004008016032064
ER,74,0.02404809619238477
ER,75,0.036072144288577156
ER,76,0.03206412825651302
ER,77,0.026052104208416832
ER,78,0.04008016032064128
ER,79,0.03206412825651302
ER,80,0.04008016032064128
ER,81,0.03006012024048096
ER,82,0.028056112224448898
ER,83,0.03006012024048096
ER,84,0.026052104208416832
ER,85,0.028056112224448898
ER,86,0.03406813627254509
ER,87,0.026052104208416832
ER,88,0.04408817635270541
ER,89,0.03807615230460922
ER,90,0.04008016032064128
ER,91,0.04208416833667335
ER,92,0.03006012024048096
ER,93,0.04008016032064128
ER,94,0.028056112224448898
ER,95,0.03206412825651302
ER,96,0.04408817635270541
ER,97,0.022044088176352707
ER,98,0.03406813627254509
ER,99,0.022044088176352707
ER,100,0.02404809619238477
ER,101,0.02404809619238477
ER,102,0.04408817635270541
ER,103,0.014028056112224449
ER,104,0.036072144288577156
ER,105,0.026052104208416832
ER,106,0.03206412825651302
ER,107,0.03206412825651302
ER,108,0.03206412825651302
ER,109,0.03006012024048096
ER,110,0.04008016032064128
ER,111,0.028056112224448898
ER,112,0.03006012024048096
ER,113,0.03006012024048096
ER,114,0.03006012024048096
ER,115,0.03206412825651302
ER,116,0.03206412825651302
ER,117,0.03206412825651302
ER,118,0.028056112224448898
ER,119,0.03406813627254509
ER,120,0.04008016032064128
ER,121,0.028056112224448898
ER,122,0.02004008016032064
ER,123,0.02404809619238477
ER,124,0.028056112224448898
ER,125,0.036072144288577156
ER,126,0.036072144288577156
ER,127,0.028056112224448898
ER,128,0.026052104208416832
ER,129,0.03206412825651302
ER,130,0.02404809619238477
ER,131,0.03807615230460922
ER,132,0.02404809619238477
ER,133,0.04008016032064128
ER,134,0.02004008016032064
ER,135,0.04008016032064128
ER,136,0.026052104208416832
ER,137,0.026052104208416832
ER,138,0.02404809619238477
ER,139,0.036072144288577156
ER,140,0.03006012024048096
ER,141,0.03006012024048096
ER,142,0.04008016032064128
ER,143,0.036072144288577156
ER,144,0.03406813627254509
ER,145,0.03206412825651302
ER,146,0.018036072144288578
ER,147,0.028056112224448898
ER,148,0.028056112224448898
ER,149,0.02404809619238477
ER,150,0.03006012024048096
ER,151,0.028056112224448898
ER,152,0.026052104208416832
ER,153,0.03807615230460922
