model,node,pagerank
ER,0,0.002430536143950614
ER,1,0.0016988436682954483
ER,2,0.0021276353063340186
ER,3,0.0015836919034365872
ER,4,0.0019106160115495928
ER,5,0.002157833406149325
ER,6,0.0016652217702890337
ER,7,0.0015801898923700486
ER,8,0.002278229349685398
ER,9,0.0019189498160176786
ER,10,0.0021176100413528467
ER,11,0.0014374763353177133
ER,12,0.0015618011638250096
ER,13,0.0016999522414271745
ER,14,0.0021213901916278446
ER,15,0.0019403426416755454
ER,16,0.001681183387048903
ER,17,0.0017004537484955774
ER,18,0.002155006176164167
ER,19,0.002346726143847177
ER,20,0.0015711132183717546
ER,21,0.001898615505523395
ER,22,0.0023307277517813493
ER,23,0.0019584527710087263
ER,24,0.0012220868907019313
ER,25,0.0015946756913926736
ER,26,0.0027271629802241367
ER,27,0.0016812817408045299
ER,28,0.0020586526341180656
ER,29,0.0014746757393271756
ER,30,0.0020278076027263406
ER,31,0.00234965951646006
ER,32,0.002146045609680733
ER,33,0.0022195980680300214
ER,34,0.0023800179701742637
ER,35,0.0019043245285229984
ER,36,0.0016949698287680914
ER,37,0.0018433024885164033
ER,38,0.0021412077816765854
ER,39,0.0015702672984587041
ER,40,0.003037579794762706
ER,41,0.0026836813567759116
ER,42,0.001911156182619501
ER,43,0.002724592400514201
ER,44,0.002713364589157918
ER,45,0.002256202706181774
ER,46,0.0021552444586333463
ER,47,0.001777793357678934
ER,48,0.0027348253627418407
ER,49,0.002123291940869453
ER,50,0.0021794823410720295
ER,51,0.0017782178924168066
ER,52,0.0022575108317097687
ER,53,0.0019308039922728212
ER,54,0.0008722669978540583
ER,55,0.0016898708705150303
ER,56,0.0019217572972627904
ER,57,0.0022750045987989256
ER,58,0.0024893825644358076
ER,59,0.0019380447670791197
ER,60,0.0014574319021092212
ER,61,0.0022473661002310784
ER,62,0.0020573184664384693
ER,63,0.0020285778152565135
ER,64,0.0019032869001590238
ER,65,0.0022822333877580035
ER,66,0.0018160936385264402
ER,67,0.0018190954095997462
ER,68,0.0016939012889875772
ER,69,0.0021658249910583025
ER,70,0.002119470400114041
ER,71,0.002025791986811756
ER,72,0.00255790469375896
ER,73,0.0015097217757556452
ER,74,0.0016793688808331448
ER,75,0.0023703448335946624
ER,76,0.0021474119095572027
ER,77,0.001829446997462147
ER,78,0.002638975142373057
ER,79,0.0021475982451357365
ER,80,0.0026038812032559257
ER,81,0.0020483612237179715
ER,82,0.0019137940845028458
ER,83,0.002061852885925267
ER,84,0.0018248155260338955
ER,85,0.0019107476850847268
ER,86,0.002220633136592133
ER,87,0.0017869031508180179
ER,88,0.0028503091139994385
ER,89,0.0024930369569346558
ER,90,0.0025907636159362116
ER,91,0.002713116490121219
ER,92,0.0020976507610697757
ER,93,0.0026260500603204275
ER,94,0.0019115597540609224
ER,95,0.0021492254091731882
ER,96,0.002875715780431435
ER,97,0.0015415104803919077
ER,98,0.002232334558490659
ER,99,0.001575362217408847
ER,100,0.001680243155791073
ER,101,0.0017004268689373911
ER,102,0.0028265771555498276
ER,103,0.0010955872405907319
ER,104,0.0024082274965078697
ER,105,0.0017919883940023223
ER,106,0.0021917647506088877
ER,107,0.002134705708971308
ER,108,0.0021735664941579026
ER,109,0.0020318209684912405
ER,110,0.002635672727849987
ER,111,0.0019197155983616935
ER,112,0.0020339510060342707
ER,113,0.0020197285472330867
ER,114,0.002013007102820718
ER,115,0.0021331814321838647
ER,116,0.0021765376058021963
ER,117,0.0021643211055628244
ER,118,0.0019508194396216623
ER,119,0.002270606373043911
ER,120,0.0026014526476999685
ER,121,0.0019460764006567852
ER,122,0.001457498541877826
ER,123,0.0016855642218609518
ER,124,0.0019104353796400371
ER,125,0.0023758270451330614
ER,126,0.0023477168934935098
ER,127,0.0019204663377187362
ER,128,0.0018307914509679047
ER,129,0.0021677815066148925
ER,130,0.0016863457471995543
ER,131,0.0024800743897479415
ER,132,0.001701957218811954
ER,133,0.0026330075009739027
ER,134,0.0014572135273096176
ER,135,0.0026534632593472646
ER,136,0.0018106498608646147
ER,137,0.0018184945535277448
ER,138,0.001705954233781066
ER,139,0.0023649556779544697
ER,140,0.0020262463832154353
ER,141,0.002029994404171988
ER,142,0.0025512024622810843
ER,143,0.0024028527385748406
ER,144,0.0022616923044834606
ER,145,0.0021640268674358158
ER,146,0.0013469673311659706
ER,147,0.001882977644373197
ER,148,0.001921344718477205
ER,149,0.001676145354431992
ER,150,0.002061839472619708
