node,degree,degree_centrality,closeness_centrality,betweenness_centrality,pagerank,E,O,A,C,N,community
0,26,0.052104208416833664,0.43695271453590195,449.6150741734833,0.0022415700695930904,0.728903952052215,0.5037016611720664,0.10008021166201303,0.6834433792187898,0.5412404973485385,0
1,21,0.04208416833667335,0.4154870940882598,267.5889391558139,0.0018778228741603061,0.450939453406201,0.2976977490274147,0.1584450392364506,0.30775338755981485,0.6824216597897279,0
2,27,0.05410821643286573,0.4294320137693632,430.3843896441182,0.0023155686010429073,0.7769352124494872,0.5110937315517927,0.3532799707735865,0.6449971600874023,0.42343746308953784,0
3,18,0.036072144288577156,0.412396694214876,213.61121650545073,0.001641473007015899,0.29247398502918187,0.3244919622882932,0.0943142176952541,0.3710307098739799,0.6552924913820529,0
4,17,0.03406813627254509,0.412396694214876,198.90060678073482,0.0015732433239612111,0.2428791353229876,0.25645426019662515,0.1388029130908084,0.2861514103395332,0.8020858809116455,0
5,21,0.04208416833667335,0.4210970464135021,254.62083384620016,0.0018661544979757594,0.45855710666598515,0.20554325042114818,0.3418967145387643,0.5608221084030375,0.5478223409068522,0
6,25,0.050100200400801605,0.4294320137693632,360.76529862073943,0.0021539293403202244,0.5372869823859723,0.44893105464899025,0.3711866915886285,0.6529300686542454,0.48522864429390267,0
7,22,0.04408817635270541,0.4225232853513971,311.4190707385401,0.001946226446760268,0.49746701431756396,0.3477695419661505,0.2491709867838837,0.5024770087942144,0.5344452274257494,0
8,27,0.05410821643286573,0.4419840566873339,475.1665822842755,0.0023147398755165817,0.785597234184654,0.6139265000665214,0.2583927360301585,0.7056547721218647,0.47374833636634267,0
9,23,0.04609218436873747,0.4254049445865303,330.24062616490835,0.002023841879142971,0.6354677134766104,0.4101883677398827,0.22579341136804143,0.5173427541678483,0.7751314774356426,0
10,22,0.04408817635270541,0.43017241379310345,323.58354847603135,0.0019462341371039795,0.5178750024182207,0.3248551739336173,0.10336051978277441,0.5940403973404014,0.6014749688578395,0
11,23,0.04609218436873747,0.4264957264957265,300.4460567469194,0.002000875083652227,0.539659334001481,0.38915513830051235,0.15807067436608707,0.5058383192237084,0.6076353053402432,0
12,20,0.04008016032064128,0.41445182724252494,221.25210102017996,0.0017936772750682597,0.43365558655628045,0.15894929755688053,0.4602188955265379,0.34382283529475044,0.5522211140778283,0
13,16,0.03206412825651302,0.41722408026755853,167.3705099186159,0.0014790815044985832,0.19888943127304387,0.09139472974873067,0.2791069915186432,0.3599913013764007,0.7138417816238551,0
14,24,0.04809619238476954,0.4324090121317158,358.52306789777646,0.002088835413727536,0.6028575758709165,0.46085519394369023,0.32336982385125873,0.5555934120211523,0.49364683529156195,0
15,26,0.052104208416833664,0.4290627687016337,401.7540226507932,0.0022380221448839955,0.6850054614577596,0.5035350665419378,0.1795591653147699,0.6428969823240251,0.47370208729417224,0
16,21,0.04208416833667335,0.42074198988195616,279.5810036970246,0.0018588344055313606,0.5453948976269842,0.2398875989819918,0.12321998887289265,0.4320463578009974,0.6758792313477424,0
17,18,0.036072144288577156,0.4070146818923328,170.18027737257933,0.001640997565941926,0.2796029020552567,0.17308000800969986,0.2768450730253062,0.3108199696080648,0.6165370516984159,0
18,26,0.052104208416833664,0.4331597222222222,394.3450308649907,0.0022313809100680555,0.7443981645444568,0.4666209803928476,0.23026695262864033,0.6358280248924553,0.6204895693567436,0
19,27,0.05410821643286573,0.4415929203539823,440.12504946450633,0.002308262642793348,0.7246503781602186,0.5642570046033553,0.17905449466440215,0.6841511405879791,0.49928571417538,0
20,17,0.03406813627254509,0.40306946688206785,157.97025750666498,0.0015781513837233043,0.20669146236052593,0.04678023331661278,0.2577485815219505,0.28545707153374084,0.7626903048848553,0
21,22,0.04408817635270541,0.4290627687016337,300.45281464902496,0.001923978848310754,0.5236893906217506,0.35258587023531857,0.2814683506742061,0.5669612738206098,0.5665832866170892,0
22,26,0.052104208416833664,0.43353605560382275,359.92149341424107,0.0022234112291735163,0.7286959609780961,0.4947101789965346,0.4552145327593705,0.6367988682061292,0.5150149763327015,0
23,16,0.03206412825651302,0.41069958847736626,215.65747934040292,0.0015122145018158755,0.1941607058328092,0.2025739419282459,0.0,0.26299379845957027,0.8315792641174304,0
24,17,0.03406813627254509,0.412396694214876,153.29685421175984,0.0015570276426602684,0.22847914452979182,0.08703965734719514,0.20217066759147112,0.4334151007455045,0.7246625071335725,0
25,18,0.036072144288577156,0.4073469387755102,184.14793769627573,0.0016458107012539878,0.32055234223483525,0.18921394426104504,0.3984104542278133,0.28706375511055243,0.6619716782146412,0
26,31,0.06212424849699399,0.4528130671506352,559.240337496618,0.002590473698455084,0.9459434270634214,0.633411190880283,0.4382893118808281,0.8879681932156012,0.3835357628815157,0
27,18,0.036072144288577156,0.41273779983457404,195.52446973959601,0.001632178708184364,0.3412792568086702,0.18913781576554076,0.24180822881948416,0.31726252238292896,0.7809496222362624,0
28,26,0.052104208416833664,0.4361888111888112,475.15208456569343,0.0022635789179759344,0.6676488393433797,0.6131611990587483,0.30951808474626924,0.7428374443683233,0.5791073464351366,0
