node,degree,degree_centrality,closeness_centrality,betweenness_centrality,pagerank,E,O,A,C,N,community
0,95,0.1903807615230461,0.5102249488752556,33914.84958579582,0.027501781573554027,1.0,0.9301710947649425,0.0009526874505022404,1.0,0.4317133503633849,0
1,40,0.08016032064128256,0.4327840416305291,8751.731563907711,0.01178773602955152,0.39856791190422464,0.2669007731691456,0.0180604238518352,0.626189090420966,0.7787997382330237,1
2,26,0.052104208416833664,0.40437601296596437,5086.896138613663,0.0076883118829677265,0.29966248517675986,0.11751605981599221,0.05254737004098575,0.6608076837967314,0.8124401270922019,2
3,54,0.10821643286573146,0.44914491449144917,13837.54811491401,0.015473647544316462,0.5286399929343202,0.5281273829087691,0.0,0.7966109961015421,0.597486428394549,3
4,45,0.09018036072144289,0.45487693710118504,10783.390418898829,0.012786258145770111,0.4266736017261497,0.39303850766063975,0.13834454792656087,0.7345558222114887,0.7104178302921881,3
5,9,0.018036072144288578,0.3774583963691377,823.1506753392397,0.002768829187380754,0.06922904342487841,0.0,0.31927766691971665,0.5827207133558808,0.7537958963369293,4
6,31,0.06212424849699399,0.419327731092437,6349.759750065189,0.009086263915438214,0.20527117210929233,0.20151911131750494,0.052108350574803605,0.7282762774703522,0.8107757199391551,5
7,52,0.10420841683366733,0.447935368043088,13885.780934117503,0.015219866967994928,0.5300757099697377,0.39980010516163816,0.0,0.7856229556928722,0.6505232031584568,6
8,44,0.08817635270541083,0.42324003392705684,9445.699053917015,0.013001180346501513,0.5039766808249702,0.27882482322860486,0.05847960007051087,0.6259997978041252,0.7145151810260084,7
9,10,0.02004008016032064,0.3669117647058823,642.77074402529,0.00303371686699456,0.16610012454380413,0.04223560203729166,0.29368349230160057,0.4387027569525369,0.9758702314352662,8
10,15,0.03006012024048096,0.3868217054263566,1961.8639911811013,0.0045039487914345895,0.14830978502691625,0.006217864446478399,0.13842545484770946,0.5298902133731002,0.7687251100210242,3
11,39,0.0781563126252505,0.39353312302839116,7531.96994930965,0.011538397227477714,0.38550913637302253,0.27098019283120284,0.07244691597344996,0.518377428961422,0.727522283350791,4
12,13,0.026052104208416832,0.38384615384615384,1851.6293511652327,0.00396748574318123,0.13326032963928444,0.0,0.16238777927436898,0.4814636431180718,0.8513343006624108,9
